ENTREZ_GENE_ID,INCHIKEY_DESALT,CANONICAL_SMILES_DESALT,RESULT_VALUE_min,dataset,PDB_CODE,PKL,pair,cv1|cvset,cv1|tthresh,cv1|cthresh,cv1|source,cv2|cvset,cv2|tthresh,cv2|cthresh,cv2|source,cv3|cvset,cv3|tthresh,cv3|cthresh,cv3|source,cv4|cvset,cv4|tthresh,cv4|cthresh,cv4|source,cv5|cvset,cv5|tthresh,cv5|cthresh,cv5|source,status,metal_lgd,ligand,hdf_id
P55212,4n7j,CN(C1=NC(=O)c2c(C1)cccc2)C,1.2203700992868447,PDBBIND,4n7j,False,P55212|4n7j,training,,,,validation,0,0.6,PDBBIND,training,,,,,,,,training,,,,protein,0.0,(2GQ),P55212|4n7j
P55212,4n7m,O=C1NC(=[N]2CCCC2)Cc2c1cccc2,1.2203700992868447,PDBBIND,4n7m,False,P55212|4n7m,training,,,,validation,0,0.2,PDBBIND,training,,,,,,,,training,,,,protein,0.0,(2GQ),P55212|4n7m
23476,4qb3,CC(=O)NCCCCn1c2ccccc2c2c1CCNC2=O,1.2203700992868447,PDBBIND,4qb3,False,23476|4qb3,test,random,0.2,PDBBIND,validation,random,0.6,PDBBIND,training,,,,test,random,0.6,PDBBIND,test,10,0.6,PDBBIND,protein,0.0,(30M),23476|4qb3
Q9UZ14,4rrq,OC[C@@H](C(=O)N[C@@H]1[C@@H](CO)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N)[NH3+],1.2203700992868447,PDBBIND,4rrq,False,Q9UZ14|4rrq,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(A3S),Q9UZ14|4rrq
O75530,4x3e,OC[C@@H](C(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])C)CCC(=O)N)CCCNC(N)N)CCCC[N+](C)(C)C)Cc1ccccc1)C)CCC(=O)N,1.2203700992868447,PDBBIND,4x3e,False,O75530|4x3e,training,,,,training,,,,training,,,,,,,,training,,,,protein,0.0,(13-mer),O75530|4x3e
Q2MFS1,4xcb,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H]([NH3+])C[C@@H]([C@H]2O)[NH2+]C)[C@@H]2[C@H]([C@H]1O)O[C@]1(O2)O[C@H]([C@H](CO)[NH3+])[C@@H]([C@@H]([C@H]1O)O)O,1.2203700992868447,PDBBIND,4xcb,False,Q2MFS1|4xcb,training,,,,training,,,,training,,,,training,,,,test,10,0.6,PDBBIND,desalted,0.0,(HY0),Q2MFS1|4xcb
P23497,5fb0,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CO)CCCC[NH3+])CCCNC(N)N)C)[C@H](O)C)CCC(=O)N)NC(=O)[C@H]([C@H](OP(O)(O)O)C)NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])C)CCCNC(N)N,1.2203700992868447,PDBBIND,5fb0,False,P23497|5fb0,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(15-mer),P23497|5fb0
P02879,5gu4,[NH3+]CC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(=O)O)Cc1ccccc1)CC(C)C)Cc1ccccc1,1.2203700992868447,PDBBIND,5gu4,False,P02879|5gu4,,,,,training,,,,training,,,,training,,,,,,,,protein,0.0,(9-mer),P02879|5gu4
P10253,5nn5,OC[C@H]1[NH2+]C[C@@H]([C@H]([C@@H]1O)O)O,1.2203700992868447,PDBBIND,5nn5,False,P10253|5nn5,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(NOJ),P10253|5nn5
P00918,5u0f,COc1cc(OC)ccc1C[C@H]1SC(=S)NC1=O,1.2203700992868447,PDBBIND,5u0f,False,P00918|5u0f,training,,,,training,,,,training,,,,,,,,training,,,,desalted,0.0,(7R1),P00918|5u0f
P07435,1g85,CCCCC[C@@H](CC)O,1.1973442483569028,PDBBIND,1g85,False,P07435|1g85,training,,,,,,,,training,,,,training,,,,training,,,,protein,0.0,(3OL),P07435|1g85
P18670,1uh1,CO[C@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1NC(=O)C)O)O)O,1.1973442483569028,PDBBIND,1uh1,False,P18670|1uh1,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(NGA-AMG),P18670|1uh1
Q08638,2cbv,O[C@@H]1[C@@H](O)[C@H]2CC[C@@]([C@H]1O)([NH2+]2)O,1.1973442483569028,PDBBIND,2cbv,False,Q08638|2cbv,test,10,0.6,PDBBIND,training,,,,,,,,training,,,,training,,,,protein,0.0,(CGB),Q08638|2cbv
P61964,2co0,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N)CCC(=O)N)NC(=O)[C@H]([C@H](O)C)NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])C)CCCNC(N)N,1.1973442483569028,PDBBIND,2co0,False,P61964|2co0,training,,,,training,,,,,,,,training,,,,training,,,,protein,0.0,(15-mer),P61964|2co0
O59010,2nww,[NH3+][C@@H]([C@@H](C(=O)O)OCc1ccccc1)C(=O)O,1.1973442483569028,PDBBIND,2nww,False,O59010|2nww,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(TB1),O59010|2nww
Q9UK53,2qic,NC(NCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCNC(N)N)C)[C@H](O)C)CCC(=O)N)CCCC[N+](C)(C)C)[C@H](O)C)NC(=O)[C@@H]([NH3+])C)N,1.1973442483569028,PDBBIND,2qic,False,Q9UK53|2qic,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(12-mer),Q9UK53|2qic
Q9H3H2,2qyk,OC(=O)c1ccc(cc1)c1cc2cccnc2c(n1)c1cccc(c1)N(=O)=O,1.1973442483569028,PDBBIND,2qyk,False,Q9H3H2|2qyk,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(NPV),Q9H3H2|2qyk
P29736,2wxd,OS(O/N=C(/Cc1ccccc1)\SCC[NH+](C)C)(O)O,1.1973442483569028,PDBBIND,2wxd,False,P29736|2wxd,,,,,,,,,training,,,,training,,,,training,,,,desalted,0.0,(E18),P29736|2wxd
5166,2zkj,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N,1.1973442483569028,PDBBIND,2zkj,False,5166|2zkj,training,,,,,,,,training,,,,training,,,,training,,,,desalted,0.0,(ADP),5166|2zkj
O32253,3bxe,OCC(=O)COP(O)(O)O,1.1973442483569028,PDBBIND,3bxe,False,O32253|3bxe,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(13P),O32253|3bxe
5166,3d2r,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N,1.1973442483569028,PDBBIND,3d2r,False,5166|3d2r,training,,,,,,,,training,,,,training,,,,training,,,,desalted,0.0,(ADP),5166|3d2r
1432,BEPDKTMMVYTHND-UHFFFAOYSA-O,CCOC(=O)c1n(CC)c(c(c1C)C(=O)N1CC[NH+](CC1)Cc1ccccc1)C,1.1973442483569028,PDBBIND,3iw6,True,1432|BEPDKTMMVYTHND-UHFFFAOYSA-O,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(PP0),1432|3iw6
Q8WTS6,3m58,[NH3+]CCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)Cc1ccc(cc1)O)CCCC[NH3+])NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C)CO)CCCC[NH3+])CO)CCCC[NH2+]C)CC(=O)O,1.1973442483569028,PDBBIND,3m58,False,Q8WTS6|3m58,training,,,,,,,,training,,,,training,,,,training,,,,protein,0.0,(11-mer),Q8WTS6|3m58
P23470,3qch,O=C(c1sccc1SCc1ccc(c(c1)Cl)Cl)NS(=O)(=O)C,1.1973442483569028,PDBBIND,3qch,False,P23470|3qch,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(NX2),P23470|3qch
O94925,3vp1,S=CCc1nnc(s1)NC(=O)Cc1ccccc1,1.1973442483569028,PDBBIND,3vp1,False,O94925|3vp1,training,,,,,,,,training,,,,training,,,,training,,,,protein,0.0,(04A),O94925|3vp1
Q9HYN5,3zdv,CO[C@H]1O[C@H](CNS(=O)(=O)c2c(C)cc(cc2C)C)[C@H]([C@@H]([C@@H]1O)O)O,1.1973442483569028,PDBBIND,3zdv,False,Q9HYN5|3zdv,training,,,,training,,,,,,,,validation,10,0.4,PDBBIND,,,,,desalted,0.0,(F1A-MMA),Q9HYN5|3zdv
O75936,4c5w,OC(=O)CCC[N+](C)(C)C,1.1973442483569028,PDBBIND,4c5w,False,O75936|4c5w,,,,,training,,,,,,,,training,,,,training,,,,desalted,0.0,(NM3),O75936|4c5w
3480,FTZQWKAIKYEWPM-UHFFFAOYSA-O,COc1cc(ccc1Nc1nccc(n1)c1c[nH]c2c1ccnc2)O[C@@H]1CC[N@@H+](CC1)C,1.1973442483569028,PDBBIND,4d2r,True,3480|FTZQWKAIKYEWPM-UHFFFAOYSA-O,training,,,,validation,random,0.6,docked,,,,,training,,,,training,,,,protein,0.0,(DYK),3480|4d2r
Q9C0B1,4ie4,OC(=O)c1ccc(c2c1cccn2)O,1.1973442483569028,PDBBIND,4ie4,False,Q9C0B1|4ie4,training,,,,training,,,,,,,,training,,,,,,,,desalted,0.0,(8XQ),Q9C0B1|4ie4
P38398,4ifi,OC[C@@H](C(=O)O)NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CCCNC(N)N)[NH3+])COP(O)(O)O)Cc1ccccc1,1.1973442483569028,PDBBIND,4ifi,False,P38398|4ifi,validation,0,0.2,PDBBIND,training,,,,training,,,,training,,,,training,,,,protein,0.0,(6-mer),P38398|4ifi
Q13451,4jfm,COc1ccc(cc1OC)OCCOC(=O)[C@@H]1CCCCN1S(=O)(=O)c1ccc2c(c1)sc(=O)[nH]2,1.1973442483569028,PDBBIND,4jfm,False,Q13451|4jfm,training,,,,,,,,,,,,training,,,,,,,,protein,0.0,(1KZ),Q13451|4jfm
O43570,4kp8,O=C(c1cccc(c1)S(=O)(=O)N)CSc1ncccn1,1.1973442483569028,PDBBIND,4kp8,False,O43570|4kp8,training,,,,validation,random,0.2,PDBBIND,training,,,,training,,,,training,,,,desalted,0.0,(E1G),O43570|4kp8
P46934,4n7h,OC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)C(C)C)CCC(=O)O)C)Cc1ccc(cc1)O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)[NH3+])C,1.1973442483569028,PDBBIND,4n7h,False,P46934|4n7h,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(13-mer),P46934|4n7h
Q07820,4oq6,CCCc1ccc(cc1)c1ccc(c(c1)C(=O)O)O,1.1973442483569028,PDBBIND,4oq6,False,Q07820|4oq6,,,,,training,,,,,,,,,,,,training,,,,protein,0.0,(2UV),Q07820|4oq6
P02866,4pf5,OC[C@H]1O[C@H](n2nnc(c2)CO)[C@H]([C@H]([C@@H]1O)O)O,1.1973442483569028,PDBBIND,4pf5,False,P02866|4pf5,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(M3N),P02866|4pf5
P54645,4qfg,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COP(O)(O)O,1.1973442483569028,PDBBIND,4qfg,False,P54645|4qfg,training,,,,,,,,training,,,,training,,,,training,,,,protein,0.0,(AMP),P54645|4qfg
P28907,4tmf,O[C@H]1[C@@H](O)O[C@@H]([C@H]1O)COP(OP(OCCCCn1c(N)nc2c1[nH]cnc2=O)(O)O)(O)O,1.1973442483569028,PDBBIND,4tmf,False,P28907|4tmf,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(JS2),P28907|4tmf
Q9K169,4uc5,[NH3+][C@H](C(=O)O)Cc1ccccc1,1.1973442483569028,PDBBIND,4uc5,False,Q9K169|4uc5,training,,,,training,,,,,,,,training,,,,training,,,,desalted,0.0,(PHE),Q9K169|4uc5
Q9UBL3,4x8p,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)O)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)[NH3+])Cc1ccc(cc1)O)CCC(=O)O)CCC(=O)O)CCCNC(N)N)CCC(=O)O)CO)CCC(=O)O)Cc1ccccc1)CC(=O)O)C,1.1973442483569028,PDBBIND,4x8p,False,Q9UBL3|4x8p,training,,,,training,,,,training,,,,training,,,,test,0,0.2,PDBBIND,protein,0.0,(12-mer),Q9UBL3|4x8p
Q8IKG4,4y6r,O=C(N(O)C)C[C@H](c1ccccc1)CP(O)(O)O,1.1973442483569028,PDBBIND,4y6r,False,Q8IKG4|4y6r,training,,,,training,,,,training,,,,validation,random,0.2,PDBBIND,training,,,,desalted,0.0,(RF7),Q8IKG4|4y6r
Q15046,4ycu,C[C@H]1CCC[C@@H](O1)C[C@@H]1OC(=O)c2c(C1)cc(cc2O)O,1.1973442483569028,PDBBIND,4ycu,False,Q15046|4ycu,training,,,,,,,,training,,,,,,,,training,,,,protein,0.0,(KRS),Q15046|4ycu
P34913,5alx,CCSc1cccc(c1)c1ccc(s1)C(=O)N,1.1973442483569028,PDBBIND,5alx,False,P34913|5alx,,,,,,,,,training,,,,training,,,,validation,0,0.2,PDBBIND,protein,0.0,(DUL),P34913|5alx
P0DMV8,5aqz,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cc(c2c1ncnc2N)C(=O)N,1.1973442483569028,PDBBIND,5aqz,False,P0DMV8|5aqz,training,,,,,,,,training,,,,,,,,training,,,,protein,0.0,(SGV),P0DMV8|5aqz
Q86U86,5hrw,CCCc1n[nH]c2c1c1ccccc1c(=O)o2,1.1973442483569028,PDBBIND,5hrw,False,Q86U86|5hrw,training,,,,training,,,,training,,,,,,,,training,,,,protein,0.0,(64E),Q86U86|5hrw
Q86U86,5ii1,Cc1n[nH]c2c1c1ccccc1c(=O)o2,1.1973442483569028,PDBBIND,5ii1,False,Q86U86|5ii1,training,,,,training,,,,training,,,,,,,,training,,,,protein,0.0,(6BL),Q86U86|5ii1
Q96PN6,5iv4,Clc1cc(nc(n1)N)N(C1CC1)Cc1cccs1,1.1973442483569028,PDBBIND,5iv4,False,Q96PN6|5iv4,training,,,,training,,,,training,,,,,,,,test,0,0.6,PDBBIND,protein,0.0,(LRI),Q96PN6|5iv4
P06276,5lkr,COCCN(C(=O)c1ccc2c(c1)cccc2)C[C@H]1CCC[N@@H+](C1)CC#C,1.1973442483569028,PDBBIND,5lkr,False,P06276|5lkr,,,,,,,,,training,,,,,,,,training,,,,protein,0.0,(6YC),P06276|5lkr
P12004,5mav,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC(C)C)CCCNC(N)N)CCSC)Cc1ccccc1)Cc1nc[nH]c1)CC(=O)O)[C@H](O)C)[C@H](CC)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCC[NH3+])[NH3+])CC(=O)O)CO,1.1973442483569028,PDBBIND,5mav,False,P12004|5mav,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(19-mer),P12004|5mav
Q14160,5vwk,OC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(C)C)CC(=O)N)[C@H](O)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](NC(=O)[C@@H]1CCC[NH2+]1)C)CC(=O)O,1.1973442483569028,PDBBIND,5vwk,False,Q14160|5vwk,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(8-mer),Q14160|5vwk
P23861,1pot,[NH3+]CCC[NH2+]CCCC[NH3+],1.1743183974269629,PDBBIND,1pot,False,P23861|1pot,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(SPD),P23861|1pot
P18031,1pyn,COC(=O)c1c(OCCCCNC(=O)[C@H](Cc2ccc(cc2)OC(C(=O)O)C(=O)O)NC(=O)OC(C)(C)C)cccc1O,1.1743183974269629,PDBBIND,1pyn,False,P18031|1pyn,training,,,,training,,,,,,,,,,,,,,,,protein,0.0,(941),P18031|1pyn
P00470,1tys,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)O)n1cc(C)c(=O)[nH]c1=O,1.1743183974269629,PDBBIND,1tys,False,P00470|1tys,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(TMP),P00470|1tys
P97465,1uef,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)O)CCSC)Cc1ccc(cc1)O)CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@@H](NC(=O)[C@H]([C@H](O)C)[NH3+])Cc1c[nH]c2c1cccc2)CCC(=O)O)CC(=O)N,1.1743183974269629,PDBBIND,1uef,False,P97465|1uef,test,10,0.2,PDBBIND,training,,,,training,,,,training,,,,training,,,,protein,0.0,(13-mer),P97465|1uef
P18031,2h4k,OC(=O)COc1c(sc(c1Br)c1ccccc1)C(=O)O,1.1743183974269629,PDBBIND,2h4k,False,P18031|2h4k,training,,,,training,,,,,,,,,,,,,,,,protein,0.0,(509),P18031|2h4k
P0AES0,2ioa,[NH3+]CCCC[NH2+]CCCC[P@@](=O)(OP(O)(O)O)CNC(=O)[C@H](NC(=O)CC[C@H](C(=O)O)[NH3+])C,1.1743183974269629,PDBBIND,2ioa,False,P0AES0|2ioa,training,,,,training,,,,training,,,,validation,random,0.6,PDBBIND,training,,,,desalted,0.0,(GGA),P0AES0|2ioa
5602,PRZGSWGFNRYBIP-UHFFFAOYSA-N,N#Cc1c(sc2c1CCN(C2)C(=O)CC[NH+]1CCCCC1)NC(=O)c1cccc2c1cccc2,1.1743183974269629,PDBBIND,2o0u,True,5602|PRZGSWGFNRYBIP-UHFFFAOYSA-N,training,,,,training,,,,training,,,,training,,,,test,0,0.2,docked,protein,0.0,(C0M),5602|2o0u
Q6HT60,2qtr,O[C@@H]1[C@H](O)[C@H](O[C@H]1N1C=CC=C(C1)C(=O)O)COP(OP(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)(O)O)(O)O,1.1743183974269629,PDBBIND,2qtr,False,Q6HT60|2qtr,training,,,,,,,,training,,,,training,,,,training,,,,protein,0.0,(NXX),Q6HT60|2qtr
P0AEE3,2r3y,Oc1ccc(cc1)C[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)Cc1ccccc1)Cc1c[nH]c2c1cccc2)NC(=O)[C@H](C(C)C)[NH3+],1.1743183974269629,PDBBIND,2r3y,False,P0AEE3|2r3y,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(10-mer),P0AEE3|2r3y
P29029,2uy5,c1coc(c1)CNc1ncnc2c1nc[nH]2,1.1743183974269629,PDBBIND,2uy5,False,P29029|2uy5,,,,,,,,,,,,,validation,0,0.2,PDBBIND,,,,,protein,0.0,(H35),P29029|2uy5
O76290,3bmq,Nc1cc(SCc2ccccc2)nc(n1)N,1.1743183974269629,PDBBIND,3bmq,False,O76290|3bmq,training,,,,training,,,,training,,,,,,,,training,,,,protein,0.0,(AX5),O76290|3bmq
P03367,3bvb,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C,1.1743183974269629,PDBBIND,3bvb,False,P03367|3bvb,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(017),P03367|3bvb
P23905,3ga5,OC[C@H](CO[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O,1.1743183974269629,PDBBIND,3ga5,False,P23905|3ga5,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(RGG),P23905|3ga5
P56817,3h0b,COc1ccc(cc1C[C@H](c1c[nH]c(n1)N)c1ccc(c(c1)F)OC)N(=O)=O,1.1743183974269629,PDBBIND,3h0b,False,P56817|3h0b,training,,,,,,,,test,0,0.4,PDBBIND,training,,,,,,,,protein,0.0,(B35),P56817|3h0b
7272,ZXFUVGWLRJOTTC-UHFFFAOYSA-N,Clc1ccc2c(c1)ncnc2NCC1CC1,1.1743183974269629,PDBBIND,3hmp,True,7272|ZXFUVGWLRJOTTC-UHFFFAOYSA-N,validation,10,0.2,docked,validation,10,0.4,docked,training,,,,,,,,,,,,protein,0.0,(CX4),7272|3hmp
O57728,3i73,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N,1.1743183974269629,PDBBIND,3i73,False,O57728|3i73,training,,,,,,,,training,,,,training,,,,training,,,,protein,0.0,(ADP),O57728|3i73
5566,SMTIKTZYKPWXQP-MRVPVSSYSA-O,Cc1c[nH]c2c1c(ncn2)N1CC[C@H](C1)[NH3+],1.1743183974269629,PDBBIND,3mvj,True,5566|SMTIKTZYKPWXQP-MRVPVSSYSA-O,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(XFE),5566|3mvj
P60472,3sgx,O=C(c1ccc(cc1)c1ccccc1)Nc1cccc(c1)Oc1ccc(c(c1)C(=O)O)C(=O)O,1.1743183974269629,PDBBIND,3sgx,False,P60472|3sgx,training,,,,training,,,,test,10,0.4,PDBBIND,,,,,training,,,,protein,0.0,(0FW),P60472|3sgx
P00489,3t3g,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1cc(Br)c(=O)[nH]c1=O,1.1743183974269629,PDBBIND,3t3g,False,P00489|3t3g,training,,,,training,,,,,,,,training,,,,training,,,,protein,0.0,(GPU),P00489|3t3g
Q00972,3tz4,Cl[C@H](C(=O)O)CC(C)C,1.1743183974269629,PDBBIND,3tz4,False,Q00972|3tz4,,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(03H),Q00972|3tz4
1024,PXDGOKVFTJDAPC-UHFFFAOYSA-N,NC(=O)Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C,1.1743183974269629,PDBBIND,4f6s,True,1024|PXDGOKVFTJDAPC-UHFFFAOYSA-N,training,,,,validation,0,0.2,docked,validation,0,0.2,docked,validation,10,0.2,docked,training,,,,protein,0.0,(0SQ),1024|4f6s
P43889,4knx,COc1cc2c(ncnc2cc1OCC(=O)O)Nc1ccc(cc1)NC(=O)c1ccccc1,1.1743183974269629,PDBBIND,4knx,False,P43889|4knx,test,10,0.2,PDBBIND,training,,,,training,,,,,,,,training,,,,protein,0.0,(1S9),P43889|4knx
P00811,4lv3,OB(c1cc(cc(c1)C(C)(C)C)C(C)(C)C)O,1.1743183974269629,PDBBIND,4lv3,False,P00811|4lv3,,,,,training,,,,training,,,,test,random,0.6,PDBBIND,training,,,,protein,0.0,(25N),P00811|4lv3
O28625,4tq3,C/C(=C\COP(OP(O)(O)O)(O)O)/CCC=C(C)C,1.1743183974269629,PDBBIND,4tq3,False,O28625|4tq3,training,,,,training,,,,training,,,,training,,,,training,,,,desalted,0.0,(GPP),O28625|4tq3
Q9Q2G4,4u7v,O=C(N[C@H]([C@H](C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)[NH3+])O)Cc1ccccc1)OCc1cncs1,1.1743183974269629,PDBBIND,4u7v,False,Q9Q2G4|4u7v,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(3EN),Q9Q2G4|4u7v
O60341,4uvb,O=C1NC(=O)[C@@]23[C@@H](N1)N(C[C@@H]([C@@H]([C@@H](COP(OP(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc4c1ncnc4N)(O)O)(O)O)O)O)O)c1c(N3[C@@](C[C@H]2c2ccccc2)(C)[NH3+])cc(c(c1)C)C,1.1743183974269629,PDBBIND,4uvb,False,O60341|4uvb,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(D51),O60341|4uvb
Q15370,4w9f,O[C@@H]1C[C@H](N(C1)C(=O)CC(C)(C)C)C(=O)NCc1ccc(cc1)c1scnc1C,1.1743183974269629,PDBBIND,4w9f,False,Q15370|4w9f,training,,,,test,random,0.2,PDBBIND,,,,,,,,,training,,,,desalted,0.0,(3JU),Q15370|4w9f
Q9C0B1,4zs2,Oc1ccc2c(c1)Oc1c(C2c2ccccc2C(=O)O)ccc(c1)O,1.1743183974269629,PDBBIND,4zs2,False,Q9C0B1|4zs2,training,,,,training,,,,,,,,training,,,,,,,,desalted,0.0,(FLU),Q9C0B1|4zs2
------,5avf,[NH3+]CCS(O)(O)O,1.1743183974269629,PDBBIND,5avf,False,------|5avf,training,,,,validation,random,0.6,PDBBIND,,,,,,,,,,,,,protein,0.0,(TAU),------|5avf
Q83883,5tg2,CCCCC[C@@H]1CCCCCNC(=O)CC[C@H](NC(=O)[C@@H](NC(=O)O1)CC(C)C)CO,1.1743183974269629,PDBBIND,5tg2,False,Q83883|5tg2,,,,,training,,,,,,,,training,,,,training,,,,protein,0.0,(V69),Q83883|5tg2
P08487,5tq1,OC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCC(=O)O)CC(=O)O)C(C)C)Cc1ccc(cc1)OP(O)(O)O)C(C)C)NC(=O)[C@H](CO)[NH3+],1.1743183974269629,PDBBIND,5tq1,False,P08487|5tq1,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(11-mer),P08487|5tq1
P03452,5w6u,OC[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=O)CCNC1=O)NC(=O)[C@@H](NC(=O)C)CCCNC(N)N)CC(C)C)CCC(=O)O)Cc1c[nH]c2c1cccc2,1.1743183974269629,PDBBIND,5w6u,False,P03452|5w6u,training,,,,training,,,,training,,,,training,,,,training,,,,protein,0.0,(12-mer),P03452|5w6u
Q06124,5xzr,CC1(C)CC(Nc2scc(n2)c2cccc(c2)c2ccccc2)CC([NH2+]1)(C)C,1.1743183974269629,PDBBIND,5xzr,False,Q06124|5xzr,training,,,,training,,,,training,,,,,,,,validation,0,0.6,PDBBIND,protein,0.0,(8J6),Q06124|5xzr
